Guitar;Piano;Drum;Day
5,22;7,64;3,80;14
3,08;4,80;0,43;23
2,86;1,48;7,04;12
1,49;3,41;10,32;7
10,03;7,88;4,71;18
6,89;9,28;6,61;9
2,53;0,73;2,74;26
6,07;8,86;8,76;14
0,09;5,62;2,05;24
10,41;6,64;0,12;17
9,36;5,31;9,64;5
8,76;7,88;4,41;11
0,98;9,87;7,37;19
7,02;10,25;5,67;3
2,10;9,36;10,70;29
10,17;5,59;1,57;3
10,29;2,96;8,71;14
8,78;9,57;5,48;29
4,91;5,71;0,95;21
2,70;1,90;4,47;19
10,17;5,24;9,65;29
4,45;10,75;1,20;7
5,10;7,60;2,08;7
4,03;10,15;9,35;14
7,48;9,44;5,03;19
9,58;2,76;2,72;1
5,19;7,23;8,51;0
3,16;10,58;2,31;15
0,25;6,16;10,22;11
2,64;8,52;0,19;5
0,72;10,21;10,25;7
10,87;6,60;0,22;20
8,61;9,26;0,27;28
4,47;5,92;2,28;18
10,36;0,83;10,67;23
4,91;8,35;4,66;12
7,00;3,57;0,76;12
0,10;3,86;4,93;26
10,31;5,10;7,23;28
6,89;9,62;10,20;2
6,59;2,67;3,30;18
6,36;1,00;2,33;8
9,11;2,73;7,77;10
3,37;10,19;4,13;4
4,62;1,76;8,09;10
0,36;4,39;7,45;22
5,20;0,73;2,03;16
6,55;6,62;7,08;29
10,09;0,30;6,43;23
5,95;2,79;7,93;14
